,steps
276,"{u'date': u'2013-09-07', u'steps': u'14', u'time': u'16:09:00'}"
277,"{u'date': u'2013-09-07', u'steps': u'3', u'time': u'16:08:00'}"
278,"{u'date': u'2013-09-07', u'steps': u'7', u'time': u'16:07:00'}"
279,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'16:06:00'}"
280,"{u'date': u'2013-09-07', u'steps': u'5', u'time': u'16:05:00'}"
281,"{u'date': u'2013-09-07', u'steps': u'76', u'time': u'16:04:00'}"
282,"{u'date': u'2013-09-07', u'steps': u'51', u'time': u'16:03:00'}"
283,"{u'date': u'2013-09-07', u'steps': u'65', u'time': u'16:02:00'}"
284,"{u'date': u'2013-09-07', u'steps': u'30', u'time': u'16:01:00'}"
285,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'16:00:00'}"
286,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'15:59:00'}"
287,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'15:58:00'}"
288,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'15:57:00'}"
289,"{u'date': u'2013-09-07', u'steps': u'40', u'time': u'15:56:00'}"
290,"{u'date': u'2013-09-07', u'steps': u'74', u'time': u'15:55:00'}"
291,"{u'date': u'2013-09-07', u'steps': u'38', u'time': u'15:54:00'}"
292,"{u'date': u'2013-09-07', u'steps': u'50', u'time': u'15:53:00'}"
293,"{u'date': u'2013-09-07', u'steps': u'71', u'time': u'15:52:00'}"
294,"{u'date': u'2013-09-07', u'steps': u'67', u'time': u'15:51:00'}"
295,"{u'date': u'2013-09-07', u'steps': u'63', u'time': u'15:50:00'}"
296,"{u'date': u'2013-09-07', u'steps': u'62', u'time': u'15:49:00'}"
297,"{u'date': u'2013-09-07', u'steps': u'20', u'time': u'15:48:00'}"
298,"{u'date': u'2013-09-07', u'steps': u'23', u'time': u'15:47:00'}"
299,"{u'date': u'2013-09-07', u'steps': u'63', u'time': u'15:46:00'}"
300,"{u'date': u'2013-09-07', u'steps': u'13', u'time': u'15:45:00'}"
301,"{u'date': u'2013-09-07', u'steps': u'26', u'time': u'15:44:00'}"
302,"{u'date': u'2013-09-07', u'steps': u'21', u'time': u'15:43:00'}"
303,"{u'date': u'2013-09-07', u'steps': u'7', u'time': u'15:42:00'}"
304,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'15:41:00'}"
305,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'15:40:00'}"
306,"{u'date': u'2013-09-07', u'steps': u'13', u'time': u'15:39:00'}"
307,"{u'date': u'2013-09-07', u'steps': u'43', u'time': u'15:38:00'}"
308,"{u'date': u'2013-09-07', u'steps': u'61', u'time': u'15:37:00'}"
309,"{u'date': u'2013-09-07', u'steps': u'52', u'time': u'15:36:00'}"
310,"{u'date': u'2013-09-07', u'steps': u'13', u'time': u'15:35:00'}"
311,"{u'date': u'2013-09-07', u'steps': u'6', u'time': u'15:34:00'}"
312,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'15:33:00'}"
313,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'15:32:00'}"
314,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'15:31:00'}"
315,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'15:30:00'}"
316,"{u'date': u'2013-09-07', u'steps': u'9', u'time': u'15:29:00'}"
317,"{u'date': u'2013-09-07', u'steps': u'28', u'time': u'15:28:00'}"
318,"{u'date': u'2013-09-07', u'steps': u'15', u'time': u'15:27:00'}"
319,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'15:26:00'}"
320,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'15:25:00'}"
321,"{u'date': u'2013-09-07', u'steps': u'4', u'time': u'15:24:00'}"
322,"{u'date': u'2013-09-07', u'steps': u'4', u'time': u'15:23:00'}"
323,"{u'date': u'2013-09-07', u'steps': u'6', u'time': u'15:22:00'}"
324,"{u'date': u'2013-09-07', u'steps': u'9', u'time': u'15:21:00'}"
325,"{u'date': u'2013-09-07', u'steps': u'20', u'time': u'15:20:00'}"
326,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'15:19:00'}"
327,"{u'date': u'2013-09-07', u'steps': u'8', u'time': u'15:18:00'}"
328,"{u'date': u'2013-09-07', u'steps': u'17', u'time': u'15:17:00'}"
329,"{u'date': u'2013-09-07', u'steps': u'13', u'time': u'15:16:00'}"
330,"{u'date': u'2013-09-07', u'steps': u'8', u'time': u'15:15:00'}"
331,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'15:14:00'}"
332,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'15:13:00'}"
333,"{u'date': u'2013-09-07', u'steps': u'11', u'time': u'15:12:00'}"
334,"{u'date': u'2013-09-07', u'steps': u'10', u'time': u'15:11:00'}"
